track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,streams,predicted_genre_id,predicted_genre,predicted_genre_prob,predicted_opm acoustic_prob,predicted_opm dance_prob,predicted_opm jazz_prob,predicted_opm rap_prob,predicted_opm reggae_prob,predicted_opm rock_prob
5QVuf1MpdzFtFoJGwcKosa,Stay - On the Wings of Love Teleserye Theme,1vg8YXdgvLLPPeXZkM7g5W,Daryl Ong,0YOtu6QNH83HIjdWWI30qr,262086,2016-02-17,53,0.562,0.281,7.0,0.6432759874000487,1.0,0.0296,0.841,0.0,0.112,0.306,0.269793403501459,14344798.0,0,opm acoustic,0.5798886808833936,0.5798886808833936,0.029758486563347772,0.18846091789442218,0.03466078160674939,0.01467642829015716,0.15255470476192964
2WUhR1SraSy0SVIQKohJb6,Hanggang Sa Huli,3g7vYcdDXnqnDKYFwqXBJP,SB19,4JlsfnNH8MCDXR0ypy1zcm,254469,2020-07-31,54,0.539,0.553,2.0,0.8601405379210082,1.0,0.0276,0.702,0.0,0.205,0.192,0.5308657253022092,624990.0,0,opm acoustic,0.5793879990514865,0.5793879990514865,0.032586541654518644,0.10322895042190039,0.054297011326265916,0.036438134979892026,0.19406136256593615
4hEcAsNF6RG9VCV7xElgCG,You Are My Sunshine,0rZRTXEmmPmx6gt92tBqIc,Moira Dela Torre,05rQadwAVYTpNNnBoeTuj0,164320,2018-02-19,55,0.492,0.235,2.0,0.6017446086745821,1.0,0.0315,0.921,3.69e-06,0.179,0.362,0.4384965089620675,5244230.0,0,opm acoustic,0.5787447078314357,0.5787447078314357,0.02725329210474819,0.18741730005087445,0.035124469136025786,0.011611386717716379,0.15984884415919934
3EbXTGemXMJGiulLHooO9A,Give Love on Christmas Day,5yVM85m9yNcHO6o0vaaVxW,Daniel Padilla,2X8iUzrWriZYyIcNhSletz,197440,2015-01-01,29,0.626,0.453,8.0,0.7555124787981586,1.0,0.0237,0.303,0.0,0.0439,0.468,0.15935676323468112,54002.0,5,opm rock,0.5784914516087313,0.18551676651807472,0.015444330918717707,0.13819560352145682,0.06484903452889024,0.017502812904129236,0.5784914516087313
55XlSI5d8hMVoNjVkpQpT7,Malayo,3f0X043zSojego7Qn4Yi6U,Ace Banzuelo,5eeDd6LGXrzELl6YR6UvYb,276368,2020-06-05,53,0.421,0.485,7.0,0.7095226556820937,1.0,0.0333,0.797,2.02e-05,0.117,0.164,0.53169289287203,1089985.0,0,opm acoustic,0.5780707204216705,0.5780707204216705,0.03949474687371123,0.13066233627721155,0.06467518012303851,0.018899145727769247,0.168197870576599
3U8MbjNAP56IrzpbEFn1qN,Pa-umaga,2G7VQ1kVhVfNagytlousgm,Al James,6d3mjDBVhzN8ianGFJsKKE,189019,2018-10-22,67,0.911,0.299,0.0,0.2378483159680157,1.0,0.0752,0.17,0.00201,0.0952,0.565,0.5177938724468529,15455975.0,3,opm rap,0.5770660433227696,0.08853547846213773,0.1000761856144468,0.04639770369361161,0.5770660433227696,0.14809316080809645,0.03983142809893772
5DeFtXwPfcBwPQZKkG6OHE,Eba,6gcteR920pLEynlHzjSRYd,Kiyo,0fQ7DaR6UXWUdYi4yxNyHP,218880,2020-12-24,32,0.706,0.536,11.0,0.5950084807366127,1.0,0.0354,0.185,0.000732,0.118,0.683,0.2570472071696541,5090614.0,5,opm rock,0.5767909658525731,0.06566333128334552,0.035213050619491114,0.12094175570659299,0.1181594959515271,0.08323140058646993,0.5767909658525731
1mTROTnvFi7uxGciL319Kb,Sa Dulo Ng Walang Hanggan - Sa Ngalan Ng Pag-Ibig Piano Version,4qFxP3qN9GsnZDOkAE6x2m,December Avenue,2hT2tmiAlFVF4waIOHNWqA,342067,2018-12-09,58,0.605,0.336,11.0,0.6472013569178583,1.0,0.0362,0.828,0.0,0.104,0.198,0.5039143914130888,14650132.0,0,opm acoustic,0.5759774366584209,0.5759774366584209,0.02588279426052946,0.20281046058494526,0.063970959265654,0.024375329288646917,0.10698301994180355
4rG3h1QwgjSSWz8EIjCFrm,Araw-Araw,4DAcJXcjX0zlQAZAPAx4Zb,Ben&Ben,7xCcuTA3abKwxj8HwgxP7R,313951,2019-05-12,69,0.475,0.424,11.0,0.6637751393263873,1.0,0.0295,0.582,0.0,0.234,0.224,0.5885590350145894,68808102.0,0,opm acoustic,0.574694426980464,0.574694426980464,0.02262650626479026,0.08940616288578555,0.03598318813078029,0.010941995920566567,0.2663477198176133
7DUmSBR4QzlTdlsIVo62ra,Araw-Araw,4DAcJXcjX0zlQAZAPAx4Zb,Ben&Ben,4vp0SQdEqvB7x4Qea8pqtf,313951,2019-05-03,43,0.475,0.424,11.0,0.6637751393263873,1.0,0.0295,0.582,0.0,0.234,0.224,0.5885590350145894,77641.0,0,opm acoustic,0.574694426980464,0.574694426980464,0.02262650626479026,0.08940616288578555,0.03598318813078029,0.010941995920566567,0.2663477198176133
