artist_id,artist_name,total_followers,genres,popularity
2JEIN1g27pZdm3hKB9EwE5,Mark Carpio,156327,['opm'],49
5elcNQkZ6FCZA3grSOMngY,MYMP,942225,['opm'],58
6d47Z08T4snK50HgTEHo5Z,Sage The Gemini,819012,"['dance pop', 'hyphy', 'pop rap', 'rap', 'southern hip hop', 'viral rap']",64
6gK1Uct5FEdaUWRWpU4Cl2,Petit Biscuit,921683,['tropical house'],63
6ZgBJRjJsK1iOJGKGZxEUv,South Border,870675,"['classic opm', 'dance pop', 'opm']",55
24fEOzlKhgSNLIcy9NdmwH,James Reid,315901,"['deep neofolk', 'opm', 'pinoy r&b']",51
3nZa8vRD64ueq3d0JNYTsl,6cyclemind,1008747,"['opm', 'pinoy rock', 'pop rock']",51
5pKCCKE2ajJHZ9KAiaK11H,Rihanna,49972256,"['barbadian pop', 'dance pop', 'pop', 'urban contemporary']",87
6s22t5Y3prQHyaHWUN1R1C,AJR,2488547,['modern rock'],76
2wY79sveU1sp5g7SokKOiI,Sam Smith,20081402,"['dance pop', 'pop', 'uk pop']",83
4NeCu267LZemnoq44lZYKy,Julie Anne San Jose,641088,['opm'],51
21E3waRsmPlU7jZsS13rcj,Ne-Yo,7399231,"['dance pop', 'pop', 'urban contemporary']",77
0ekbDNE2eOq8QiaXM34wer,Howie Day,306179,"['acoustic pop', 'neo mellow', 'pop rock']",55
2GqX0GnrKdi6Z2X2OReYOK,Piolo Pascual,213057,['opm'],42
0jarApAsbmiCkYhz0590mE,Freestyle,217912,"['dance pop', 'opm', 'pop rock']",56
1Hsdzj7Dlq2I7tHP7501T4,Niall Horan,8825332,"['dance pop', 'neo mellow', 'pop', 'post-teen pop', 'uk pop']",75
3C4t1usFGoKHCSRdujm2GN,Ryan Cabrera,79962,"['neo mellow', 'pop rock', 'post-teen pop']",47
2Hjj68yyUPiC0HKEOigcEp,Jesse McCartney,920596,"['dance pop', 'neo mellow', 'pop', 'post-teen pop']",60
4AK6F7OLvEQ5QYCBNiQWHq,One Direction,27257824,"['boy band', 'pop', 'post-teen pop', 'talent show']",84
6ydoSd3N2mwgwBHtF6K7eX,Calum Scott,4493142,"['neo mellow', 'pop', 'uk pop']",78
0EmeFodog0BfCgMzAIvKQp,Shakira,24874456,"['colombian pop', 'dance pop', 'latin pop']",85
3wjsrpfO6odEphTZWx45RQ,Hearts & Colors,129953,"['australian pop', 'channel pop', 'neo mellow', 'pop rock', 'post-teen pop', 'uk pop', 'viral pop']",53
2sil8z5kiy4r76CRTXxBCA,The Goo Goo Dolls,2318881,"['neo mellow', 'permanent wave', 'pop rock']",71
0jNDKefhfSbLR9sFvcPLHo,San Holo,665355,"['edm', 'electro house', 'electronic trap', 'electropop', 'future bass', 'pop dance', 'pop edm', 'vapor twitch']",58
64M6ah0SkkRsnPGtGiRAbb,Bebe Rexha,7524069,"['dance pop', 'electropop', 'pop', 'post-teen pop', 'uk pop']",81
3AQRLZ9PuTAozP28Skbq8V,The Script,7452900,"['celtic rock', 'neo mellow', 'pop', 'pop rock', 'uk pop']",73
2mxe0TnaNL039ysAj51xPQ,R. Kelly,2461759,[],66
5oWOx0BBDSMoFB8JDrjQre,Katharine McPhee,174897,"['dance pop', 'idol', 'post-teen pop']",52
55fhWPvDiMpLnE4ZzNXZyW,Noah Cyrus,1019598,"['dance pop', 'pop', 'post-teen pop']",71
6oMuImdp5ZcFhWP0ESe6mG,Migos,12527249,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'trap']",77
5H6xmHXjsq98NLbEjuE29f,NEIKED,121664,"['dance pop', 'pop', 'pop dance', 'scandipop', 'tropical house']",68
6w7j5wQ5AI5OQYlcM15s2L,Extreme,460617,"['album rock', 'funk metal', 'glam metal', 'hard rock', 'rock']",61
1anyVhU62p31KFi8MEzkbf,Chance the Rapper,5736195,"['chicago rap', 'conscious hip hop', 'hip hop', 'pop rap', 'rap']",75
02kJSzxNuaWGqwubyUba0Z,G-Eazy,5093649,"['indie pop rap', 'oakland hip hop', 'pop', 'pop rap', 'rap']",75
6X9aYHnQ75YI8o08aoa0iS,Boyzone,931901,"['boy band', 'dance pop', 'europop', 'soft rock']",60
4ehtJnVumNf6xzSCDk8aLB,Martin Jensen,1274265,"['dance pop', 'danish electronic', 'deep house', 'edm', 'electro house', 'pop', 'pop dance', 'pop edm', 'tropical house', 'uk pop']",67
0t7vWPRBcVv4xBEHPZHSWA,Sitti,73867,['opm'],47
1vSN1fsvrzpbttOYGsliDr,Tori Kelly,2052674,['dance pop'],66
5ILrArfIV0tMURcHJN8Q07,Vanessa Carlton,556083,"['lilith', 'neo mellow', 'piano rock', 'pop rock', 'post-teen pop']",63
6dC0rIJNLSFZwqckLgXJ8p,Timeflies,324470,"['dance pop', 'indie pop rap', 'pop', 'pop dance', 'pop rap', 'pop rock', 'post-teen pop', 'tropical house']",55
69ug07KFFRhcCZ7iZ1Mn1i,Bailey May,58310,[],31
2Rf4X6m0oayCJhaJ5K63GQ,Nathan Sykes,472246,"['post-teen pop', 'uk pop']",57
5X4LWwbUFNzPkEas04uU82,DVBBS,1000410,"['canadian electronic', 'dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'pop edm', 'progressive electro house', 'slap house', 'tropical house']",63
0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez,37227326,"['dance pop', 'pop', 'post-teen pop']",82
36jaGQtMj5UWD0eO1fCVdD,Joel Adams,167323,"['australian pop', 'pop soul']",54
5PokPZn11xzZXyXSfnvIM3,Lifehouse,1832428,"['alternative metal', 'neo mellow', 'pop rock', 'post-grunge']",64
5aMmmNxw4vgpc5XC6hK0zp,The Calling,669779,"['neo mellow', 'pop rock']",61
2FwJwEswyIUAljqgjNSHgP,Snakehips,344387,"['edm', 'electro house', 'pop', 'pop dance', 'tropical house']",63
0AJUYWKztkg5dnrHDIBv47,MiC LOWRY,47824,[],38
4phGZZrJZRo4ElhRtViYdl,Jason Mraz,6796753,"['acoustic pop', 'neo mellow', 'pop', 'pop rock']",72
7374lH6kwx9uQATYQ9H3Cp,Eraserheads,2772092,"['opm', 'pinoy reggae', 'pinoy rock']",61
6aZyMrc4doVtZyKNilOmwu,Colbie Caillat,2388402,"['dance pop', 'neo mellow', 'pop', 'pop rock']",67
3RpJ6OyOnaXRFRXSirgQa6,Jericho Rosales,98399,['opm'],46
6wPhSqRtPu1UhRCDX5yaDJ,The Pussycat Dolls,5205343,"['dance pop', 'girl group', 'pop', 'post-teen pop', 'urban contemporary']",68
2WzaAvm2bBCf4pEhyuDgCY,Ruth B.,2200185,"['alt z', 'canadian contemporary r&b', 'canadian pop', 'pop']",75
7xEFii6utZmQ61kX59HmLH,FRENSHIP,178120,"['electropop', 'indie poptimism', 'la pop', 'pop dance', 'tropical house', 'uk pop']",55
7DW4ijH3n36QN0RlC0n649,Angeline Quinto,550819,['opm'],53
5lXfVoQxVgC5fpjkVqvNYn,Isaiah Firebrace,52775,"['australian pop', 'australian talent show']",49
4PVn1b2WnnXdq80C7uaZLZ,Nause,195297,"['edm', 'pop dance', 'progressive electro house', 'swedish pop']",46
0jnsk9HBra6NMjO2oANoPY,Flo Rida,8643523,"['dance pop', 'miami hip hop', 'pop', 'pop rap']",77
0hEurMDQu99nJRq8pTxO14,John Mayer,5624084,"['neo mellow', 'singer-songwriter']",77
7H55rcKCfwqkyDFH9wpKM6,Christina Perri,3359819,"['dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'viral pop']",70
1Fr6agZ6iSM5Ynn2k4C8sc,VÉRITÉ,291899,"['alt z', 'brooklyn indie', 'dark pop', 'electropop', 'indie electropop', 'indie pop', 'indie poptimism', 'metropopolis', 'nyc pop', 'pop', 'vapor pop', 'vapor soul']",51
5BAyYwbv8OSfqeXMjPgWX6,Toni Gonzaga,701687,"['classic opm', 'opm', 'papuri']",50
0DdDnziut7wOo6cAYWVZC5,KREAM,212060,"['dance pop', 'edm', 'electro house', 'house', 'pop dance', 'pop edm', 'tropical house']",61
6Ww3OMFzCaO33ulKh1LBFN,Hale,801010,"['opm', 'pinoy reggae', 'pinoy rock', 'pop rock']",59
2nZ18B9RTjJH56v2NTnNAI,Leanne & Naara,58952,"['opm', 'pinoy indie']",47
6nxWCVXbOlEVRexSbLsTer,Flume,2304742,"['australian dance', 'australian electropop', 'australian indie', 'downtempo', 'edm']",71
4TH4BHy0LdBi3dpBW4P2UX,R. City,128477,"['reggae fusion', 'virgin islands reggae']",62
5mnS9jJdKQQcRSqFu5YPVe,Auli'i Cravalho,94002,"['disney', 'hollywood', 'movie tunes', 'show tunes']",63
2LJxr7Pt3JnP60eLxwbDOu,Mandy Moore,660913,"['dance pop', 'hollywood', 'post-teen pop']",63
0lzV2CiahHRiGd6qpADtPS,James Hersey,51671,[],48
4bYPcJP5jwMhSivRcqie2n,Adam Levine,962236,"['deep talent show', 'neo mellow']",72
62WbvkXqQGvXQvw74GU3kQ,Morissette,1067314,['opm'],53
0gadJ2b9A4SKsB1RFkBb66,Passenger,3027683,"['folk-pop', 'neo mellow']",70
6jJ0s89eD6GaHleKKya26X,Katy Perry,22359229,"['dance pop', 'pop']",83
5mNum7eUoqWS6NBo91NYHP,Abra,23157,[],11
0AuZVHIr5WSEBbBLZwWwWc,Charice,160522,"['dance pop', 'opm', 'post-teen pop', 'viral pop']",48
2MqhkhX4npxDZ62ObR5ELO,Hoobastank,2160094,"['alternative metal', 'funk metal', 'nu metal', 'pop rock', 'post-grunge', 'rap rock']",65
6jV25rzTKQ2zMgrqHha1V5,CHANYEOL,1693823,['k-pop'],59
7KMqksf0UMdyA0UCf4R3ux,James Blunt,2672687,"['neo mellow', 'pop', 'pop rock']",70
0zOcE3mg9nS6l3yxt1Y0bK,The Fray,3702918,"['neo mellow', 'piano rock', 'pop', 'pop rock']",68
4kYGAK2zu9EAomwj3hXkXy,JP Cooper,791264,"['dance pop', 'neo mellow', 'pop', 'tropical house', 'uk pop']",69
6vWDO969PvNqNYHIOW5v0m,Beyoncé,32066814,"['dance pop', 'pop', 'r&b']",88
7xTcuBOIAAIGDOSvwYFPzk,Daniel Powter,236361,"['canadian pop', 'neo mellow', 'pop rock']",59
11hIqBsGRPztdjBHCSLClX,Daniel Bedingfield,170061,"['dance pop', 'europop']",53
4KOFxteqSAveWCElBVijTy,Joshua Garcia,34005,[],23
1mcqfNCReSFxun2vIWvC28,KZ Tandingan,820927,['opm'],53
719ZCUqy59oGckcB1MzVTx,The Company,21241,[],37
4HOEnLufwAqJ2qoJPVnL01,Callalily,1348069,"['opm', 'pinoy rock']",51
7HJDRQAfEcFiARVehhM6qD,Gloc 9,1099183,"['opm', 'pinoy hip hop', 'pinoy trap', 'tagalog rap']",58
6xfqnpe2HnLVUaYXs2F8YS,Anna Kendrick,320309,"['hollywood', 'movie tunes']",63
5JZ7CnR6gTvEMKX4g70Amv,Lauv,5202717,"['dance pop', 'electropop', 'pop']",78
1HY2Jd0NmPuamShAr6KMms,Lady Gaga,23101926,"['art pop', 'dance pop', 'pop']",84
4EzkuveR9pLvDVFNx6foYD,James Bay,3711866,"['neo mellow', 'pop', 'uk pop']",72
188VINPQh5dyNfLUkevKqf,Olivia Holt,1042790,"['alt z', 'dance pop', 'pop', 'post-teen pop', 'social media pop']",51
7hOGhpa8RMSuDOWntGIAJt,A R I Z O N A,390991,"['electropop', 'indie poptimism', 'pop', 'pop dance', 'tropical house']",60
3zrUX1hQrUB9aXcOiyQLmN,Stanaj,59955,[],43
6kXm2YCtdUOpRYNKeKhfue,Ryan Gosling,41112,['hollywood'],54
3rIZMv9rysU7JkLzEaC5Jp,Snow Patrol,2671108,"['irish rock', 'neo mellow', 'permanent wave', 'pop rock']",67
0ZED1XzwlLHW4ZaG4lOT6m,Julia Michaels,4539260,"['alt z', 'dance pop', 'electropop', 'pop', 'post-teen pop']",74
0XOSmu9Qn1agQULUVe0dAK,Inigo Pascual,469147,['opm'],46
49tQo2QULno7gxHutgccqF,LANY,4968575,"['la pop', 'pop']",74
6aLdhHUqgdKE86xbtNmY8g,Crush,1016780,"['k-pop', 'korean r&b']",64
64KEffDW9EtZ1y2vBYgq8T,Marshmello,34216057,"['brostep', 'dance pop', 'edm', 'pop', 'pop dance', 'progressive electro house']",83
1XLjkBxFokuDTlHt0mQkRe,Thomas Gold,163005,"['big room', 'edm', 'electro house', 'funky tech house', 'german techno', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house', 'sky room']",51
6O74knDqdv3XaWtkII7Xjp,Boyz II Men,2560721,"['boy band', 'contemporary r&b', 'new jack swing', 'r&b', 'urban contemporary']",65
4lDBihdpMlOalxy1jkUbPl,Grey,69173,['pop edm'],65
1tXFYQZSAswt4JLB42lpye,Sponge Cola,1085499,"['opm', 'pinoy reggae', 'pinoy rock', 'pop rock']",54
4V8Sr092TqfHkfAA5fXXqG,Luis Fonsi,10567517,"['latin pop', 'puerto rican pop']",75
4U78sK2D3zASSB6oSR38GQ,Christian Bautista,443718,"['dance pop', 'opm']",52
3DiDSECUqqY1AuBP8qtaIa,Alicia Keys,9938043,"['hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary']",77
58MLl9nC29IXbE4nEtuoP2,Alex & Sierra,1108096,"['neo mellow', 'pop', 'post-teen pop', 'uk pop', 'viral pop']",61
53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,41690293,"['modern rock', 'rock']",88
5338fdSzGNOFD4cxAxDTeq,Aaron Carter,277804,"['dance pop', 'europop', 'post-teen pop']",44
0c173mlxpT3dSFRgMO8XPh,Big Sean,9999816,"['detroit hip hop', 'hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap']",78
4NagmapOfJiPOxJ9vQsrsf,Mikkel S. Eriksen,240,[],19
4Rxn7Im3LGfyRkY2FlHhWi,Nick Jonas,8306008,"['dance pop', 'pop', 'post-teen pop', 'uk pop']",64
7LVPSD4kabI5LiXIVPI8tn,Jona,118243,['opm'],44
74KM79TiuVKeVCqs8QtB0B,Sabrina Carpenter,4421002,"['alt z', 'dance pop', 'electropop', 'pop', 'post-teen pop']",74
1DZGAZcaTA32eLJELEsjXY,Kiana V,45120,['pinoy indie'],43
4qBgvVog0wzW75IQ48mU7v,KYLE,1020337,"['pop', 'pop rap', 'rap', 'viral rap']",65
2yEkZBBjhzKzt6LF5XMaFi,Blue,502604,"['boy band', 'dance pop', 'europop']",60
1GxkXlMwML1oSg5eLPiAz3,Michael Bublé,5432817,"['adult standards', 'canadian pop', 'jazz pop', 'lounge']",73
3Nrfpe0tUJi4K4DXYWgMUX,BTS,54419625,"['k-pop', 'k-pop boy group']",91
0dtmYDbYpwcdHPBI1OJatT,Hugh Grant,6809,['hollywood'],46
5rSXSAkZ67PYJSvpUpkOr7,Backstreet Boys,4714300,"['boy band', 'dance pop']",74
2XMxHczWkSzDDFhiC3zt8k,Marié Digby,70630,"['lilith', 'neo mellow']",43
0L6Gwm0JDrgIQJfjarWSUR,Edwin McCain,283543,"['neo mellow', 'pop rock']",53
