,track_name,track_id,artist_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
39,Ikaw Lang,16iRlyUMJVPqz62DlomMre,NOBITA,0.513,0.38,11,-11.091,1,0.0336,0.12,0.0,0.0924,0.323,120.952
40,Unang Sayaw,4iRRAvxPPWXQp3mV1rAbPF,NOBITA,0.5,0.397,9,-11.653,1,0.0557,0.412,0.0,0.126,0.375,180.045
41,Paano Uusad,7oqMwb6Don3sa3BtzuKv0G,NOBITA,0.43,0.465,7,-12.645,1,0.0297,0.292,1.33e-06,0.283,0.321,140.069
42,Di Na Mag-iisa,3YaKDCOO28ZzQh059eAgdt,NOBITA,0.497,0.213,7,-14.09,1,0.0389,0.576,2.65e-06,0.367,0.196,131.172
43,Totoo,65C2UAv6EgIivHLmxBhvgx,NOBITA,0.576,0.318,6,-12.11,1,0.0309,0.272,0.0,0.0892,0.656,143.968
44,The Search Is Over,7g7mYjkJzHkCye65pzfK7Q,NOBITA,0.331,0.294,9,-12.431,1,0.0316,0.427,3.15e-06,0.0742,0.112,131.615
45,Vie (Sabihin Mo Kung),6FmoxZRTJrSCaZR3rjEv3W,NOBITA,0.686,0.271,7,-9.858,1,0.0346,0.458,1.22e-05,0.134,0.129,126.907
46,Yakap,40AHSwhY60qEOC0TySp9uA,NOBITA,0.665,0.67,9,-5.976,1,0.0287,0.0225,1.08e-05,0.284,0.445,99.056
47,Tayong Dalawa Sa Pasko,6kvTjP9wlYW9qXEa4muMgy,NOBITA,0.418,0.201,0,-11.609,1,0.0315,0.298,0.0,0.121,0.239,112.633
48,Sana - Single Version,1X4l4i472kW5ofFP8Xo0x0,I Belong to the Zoo,0.66,0.373,7,-7.874,1,0.029,0.701,0.0,0.226,0.348,126.887
49,Balang Araw - Single Version,5NXdUJ3Z2jhlp2u1cj6f7m,I Belong to the Zoo,0.523,0.391,7,-9.283,1,0.0298,0.395,0.0,0.142,0.354,139.905
50,Sana,1ligR6l4uqjSyigzJ4Zgdj,I Belong to the Zoo,0.598,0.502,7,-6.686,1,0.0247,0.084,0.0,0.186,0.174,128.956
51,Balang Araw,0z6gEZUTCnAQpaAAh1xnhy,I Belong to the Zoo,0.528,0.527,7,-6.281,1,0.0272,0.078,0.0,0.157,0.35,140.835
52,"Patawad, Paalam",5QJYLlZvfZHX1wUTrgROru,I Belong to the Zoo,0.472,0.288,2,-8.213,1,0.0318,0.865,1.01e-05,0.131,0.193,77.987
53,Oras,2W8lOPzh50eyop8MTvcHjT,I Belong to the Zoo,0.425,0.32,9,-13.868,1,0.0305,0.273,2.37e-05,0.301,0.207,149.979
54,Game of Questions,6KTjHpX77i9Ge395Qzo40h,I Belong to the Zoo,0.35,0.321,7,-8.316,1,0.0289,0.856,0.0,0.0969,0.24,96.686
55,The One With The Snowflake,7bjzkR18f3SRsX64rPLbZg,I Belong to the Zoo,0.489,0.271,4,-13.727,1,0.0328,0.77,0.0,0.135,0.41,137.122
56,Maybe,2Qj2gsRuV9Jz3Ivu3pnfPm,I Belong to the Zoo,0.672,0.569,9,-8.149,0,0.0487,0.492,0.0,0.196,0.463,130.003
57,Balita,62y4i6e9QVug3Nf7gf7i9P,I Belong to the Zoo,0.485,0.891,2,-3.43,1,0.0539,0.00711,0.0,0.0847,0.474,160.99
